Food / Eating out ;0;7.0;2023-03-30 20:27:55;Moms card
Groceries;0;3.9799999999999995;2023-03-30 20:25:33;Moms card
Food / Eating out ;0;7.55;2023-03-30 20:25:11;Moms card
Snacks;0;0.89;2023-03-30 14:01:57;
Groceries;0;3.9799999999999995;2023-03-30 01:24:05;
Food / Eating out ;0;14.55;2023-03-30 01:23:35;
Groceries;0;3.5799999999999996;2023-03-29 20:28:20;Moms card
Pharmacy ;0;7.159999999999999;2023-03-29 02:57:48;
Food / Eating out ;0;4.95;2023-03-29 02:57:35;
Groceries;0;4.970000000000001;2023-03-29 02:57:16;
Coffeeshop;0;3.3;2023-03-29 02:57:06;
Food / Eating out ;0;5.4;2023-03-29 02:56:58;
Shopping ;0;71.2;2023-03-28 20:26:20;Moms card
Food / Eating out ;0;5.4;2023-03-28 19:03:25;
Groceries;0;0.79;2023-03-28 14:24:37;
Drogas ;0;3.63;2023-03-28 14:24:32;
Groceries;0;12.3;2023-03-28 03:07:19;
Food / Eating out ;0;7.81;2023-03-27 01:19:04;
Wolt;0;11.49;2023-03-27 01:18:45;
Groceries;0;0.79;2023-03-26 19:27:29;
Coffeeshop;0;3.8;2023-03-26 17:27:33;
Church;0;4.7;2023-03-26 17:16:56;
Food / Eating out ;0;13.85;2023-03-26 14:04:28;
Groceries;0;15.069999999999999;2023-03-26 14:02:46;
Coffeeshop;0;3.9;2023-03-25 15:05:53;
Wolt;0;10.84;2023-03-25 15:05:41;
Online Subscriptions;0;2.9899999999999998;2023-03-25 04:30:34;
Food / Eating out ;0;7.68;2023-03-25 04:30:26;
Wolt;0;16.19;2023-03-24 12:16:32;
Coffeeshop;0;4.0;2023-03-24 04:30:08;
Groceries;0;6.659999999999999;2023-03-24 04:29:46;
Food / Eating out ;0;9.64;2023-03-24 04:29:12;
Snacks;0;6.0;2023-03-24 04:28:48;
Wolt;0;11.99;2023-03-23 15:26:49;
Food / Eating out ;0;9.75;2023-03-23 15:26:33;
Coffeeshop;0;2.4;2023-03-23 15:26:21;
Coffeeshop;0;4.68;2023-03-23 02:07:29;
Wolt;0;11.940000000000001;2023-03-23 02:07:19;
Sports;0;6.5;2023-03-22 22:50:35;
Groceries;0;0.79;2023-03-22 22:50:28;
Snacks;0;2.54;2023-03-22 21:39:09;
Coffeeshop;0;2.9;2023-03-22 21:38:57;
Donation;0;1.3599999999999999;2023-03-22 17:01:16;
Drogas ;0;0.64;2023-03-22 17:01:02;
Shopping ;0;11.620000000000001;2023-03-22 13:25:18;
Food / Eating out ;0;4.7299999999999995;2023-03-22 01:20:52;
Groceries;0;1.8399999999999999;2023-03-22 01:20:24;
Food / Eating out ;0;8.27;2023-03-22 01:20:02;
English for liza ;0;11.89;2023-03-22 00:20:53;
Services ;0;35.0;2023-03-22 00:20:43;Парикмахерская 
Drogas ;0;5.9799999999999995;2023-03-22 00:20:33;
Pharmacy ;0;8.14;2023-03-22 00:20:13;
Wolt;0;8.4;2023-03-22 00:19:37;
Wolt;0;13.49;2023-03-21 13:52:08;
Coffeeshop;0;3.9;2023-03-20 18:46:06;
Snacks;0;3.3899999999999997;2023-03-20 18:43:26;
Wolt;0;11.39;2023-03-20 18:00:46;
Groceries;0;2.17;2023-03-20 13:52:00;
Groceries;0;2.8899999999999997;2023-03-19 20:47:56;
Groceries;0;14.62;2023-03-19 20:40:17;
Coffeeshop;0;7.1;2023-03-19 20:07:01;
Groceries;0;5.85;2023-03-19 17:50:20;
Food / Eating out ;0;7.75;2023-03-19 17:48:47;
Groceries;0;0.79;2023-03-19 16:11:46;
Coffeeshop;0;3.5;2023-03-19 14:39:21;
Online Subscriptions;0;7.49;2023-03-19 13:54:49;
Shopping ;0;1.01;2023-03-19 01:38:48;Book on Amazon 
English for liza ;0;18.06;2023-03-19 01:38:38;
